"Ведомость учета муниципального жилого фонда, закрепленного в оперативное управление МКУ ""Жилищное управление г. Орла"" по состоянию на 01-04-22";;;;;;;
№ п/п;Адрес дома;Количество жилых объектов, всего;Общая площадь жилых объектов, всего м2;Количество муниципальных жилых объектов;Общая площадь муниципальных жилых объектов, м2;В мун. собств.%;Муниципальные жилые объекты
2180;Московское шоссе 151 ;585;30715,75;54;2868;9,55;2, 27, 34, 36, 64, 88, 89, 96, 108, 111, 114, 117, 119, 123, 126, 142, 147, 156, 158, 175, 188, 190, 211, 269, 270, 287, 289, 304, 313, 315, 320, 326, 332, 352, 354, 364, 375, 386, 424, 424.., 424..., 424., 427, 430, 444, 471, 507, 511, 515, 526, 530, 531
2181;Московское шоссе 151 ;;66,8;1;66,8;;500,
2182;Московское шоссе 153 ;332;17637;28;1601,4;9,08;13, 14, 19, 30, 64, 73, 90, 96, 108, 117, 137, 148, 168, 187, 188, 193, 201, 213, 229, 229., 236, 247, 253, 254, 285, 291, 317, 324
2183;Московское шоссе 157 ;217;11756,6;17;876,9;7,46;33, 51, 61, 97, 107., 107, 108, 110, 145, 146, 172, 179, 180, 194, 202, 204, 214
2184;Московское шоссе 158 ;2;71,2;1;34,5;48,46;30,
2185;Московское шоссе 158 1;5;165,74;1;33,15;49,99;6,
2186;Московское шоссе 158 1;;49,7;1;49,7;;2.3,
2187;Московское шоссе 158 2;8;178,94;1;31,98;17,87;7,
2188;Московское шоссе 158 3;7;184,28;2;66,89;57,50;21, 24
2189;Московское шоссе 158 3;;91,9;1;91,9;;18-20
2190;Московское шоссе 158 4;3;177,06;0;0;14,57;
2191;Московское шоссе 158 4;;25,8;1;25,8;;1(26/92)
2192;Московское шоссе 16 ;8;389,2;0;0;0,00;
2193;Московское шоссе 160 1;84;1879,36;6;156,34;8,32;4, 5, 9, 61.64, 65, 68
2194;Московское шоссе 160 2;69;1665,45;3;72,73;4,37;29, 36, 77
2195;Московское шоссе 160 3;55;1731,44;0;0;0,00;
2196;Московское шоссе 160 3;;44,7;0;0;;
2197;Московское шоссе 160 3;;39,2;0;0;;
2198;Московское шоссе 161 ;145;7883,9;6;336,7;4,27;2, 43, 44, 47, 61, 110
2199;Московское шоссе 162 ;27;1293,8;2;100,5;7,77;12,16,
2200;Московское шоссе 163 ;145;7846,6;4;232,6;2,96;7, 64, 71, 85
2201;Московское шоссе 163 А;159;9079,4;1;59,6;0,66;157,
2202;Московское шоссе 165 ;100;4519,5;8;379,4;8,39;12,20,31,39,48,59,61,88,
2203;Московское шоссе 166 ;476;25726,46;30;1614,44;6,77;19, 41, 48, 67, 88.1, 95, 108, 112, 139, 156., 216, 289, 293, 296, 300, 305, 314, 316, 319, 320, 321, 322, 360., 360, 365, 378, 424, 428, 434, 439
2204;Московское шоссе 166 ;;61,2;1;61,2;;291а,
2205;Московское шоссе 166 ;;66,7;1;66,7;;388
2206;Московское шоссе 167 ;100;4522,2;14;652,2;14,42;3, 18, 22, 37, 38, 39, 44, 45, 48, 51, 62, 68, 72, 89
2207;Московское шоссе 168 ;106;5903,9;8;437,5;7,41;9, 26, 33, 47, 61, 65, 67, 87
2208;Московское шоссе 169 ;147;7332,3;17;939,1;12,81;5, 7, 9, 12, 13, 15, 24, 32, 33, 34, 54, 60, 69, 72, 105, 116, 140
2209;Московское шоссе 17 ;24;960,04;2;88,4;9,21;3,22,
2210;Московское шоссе 17 А;8;284,6;0;0;0,00;
2211;Московское шоссе 170 ;250;13211,7;18;968;7,33;11, 21, 31, 40, 44, 47, 88, 95, 104, 111, 121, 123, 140, 176, 205, 210, 231, 237
2212;Московское шоссе 171 ;216;11494,9;12;685,2;5,96;2, 15, 53, 60, 65, 104, 136, 144, 159, 162, 175, 190
2213;Московское шоссе 172 ;1;46;0;0;0,00;
2214;Московское шоссе 172 ;1;46,4;1;46,4;0,00;69,
2215;Московское шоссе 172 ;1;46,5;0;0;0,00;
2216;Московское шоссе 172 ;1;46;0;0;0,00;
2217;Московское шоссе 174 ;75;3557,1;8;434,4;12,21;12, 16, 34, 43, 57, 60, 70, 75
2218;Московское шоссе 176 ;1;75,5;0;0;0,00;
2219;Московское шоссе 176 ;1;75,3;1;75,3;0,00;37,
2220;Московское шоссе 176 ;1;75,4;1;75,4;0,00;1,
2221;Московское шоссе 176 ;1;75;1;75;0,00;73,
2222;Московское шоссе 178 ;76;3507,7;1;64,2;1,83;75
2223;Московское шоссе 180 ;45;2105,5;1;31,9;1,52;17
2224;Московское шоссе 180 А;1;44;0;0;0,00;
2225;Московское шоссе 180 Б;2;158,8;0;0;0,00;
2226;Московское шоссе 3 ;48;2002;3;127,8;6,38;14, 33, 34
2227;Московское шоссе 4 ;12;386,3;0;0;0,00;
2228;Московское шоссе 5 ;84;4384,1;3;135,4;3,09;21, 27, 57
2229;Московское шоссе 6 ;25;936,1;1;57,6;12,19;3,
2230;Московское шоссе 6 ;;56,5;1;56,5;;11(18/57,
2231;Московское шоссе 64 ;6;162,7;6;162,7;100,00;1, 2, 3, 4, б/н, к.14
2232;Московское шоссе 64 ;1;21,8;1;21,8;100,00;5
2233;Московское шоссе 7 А;8;271,5;2;62,9;23,17;4, 8
2234;Московское шоссе 8 ;8;390,8;0;0;0,00;
2235;Московское шоссе 9 ;15;736,9;1;45,7;6,20;5
2236;Московское шоссе 93 ;1;40,3;0;0;0,00;
2237;Моховская ул 2 ;16;591,7;2;68,3;11,54;9, 11
2238;Моховская ул 3 ;2;172;0;0;0,00;
2239;Моховская ул 4 ;13;393,3;6;189,2;48,11;1,7,9,12,12.1,13,
2240;Моховская ул 6 ;16;562,8;3;113,5;20,17;6,7,10,
2241;Наугорское шоссе 102 ;21;703,4;12;417,1;63,53;2, 3, 5, 6, 9, 11, 13, 15, 21, 23, 24, 27
2242;Наугорское шоссе 102 ;;;1;29,8;;10
2243;Наугорское шоссе 11 ;64;2524,4;5;211;8,36;31, 38, 51, 54, 58
2244;Наугорское шоссе 11 А;128;4281,3;8;255,5;5,97;19, 34, 43, 53, 62, 65, 73, 126
2245;Наугорское шоссе 13 ;141;1861,28;29;353,9;29,48;6, 16, 29, 29., 42, 53, 54., 54, 54.2, 55, 78, 81, 82.83, 90, 91, 94, 109, 111, 113, 114, 121, 128, 132, 137, 139, 150, 153, 157, 159.160
2246;Наугорское шоссе 13 ;1;11,1;1;11,1;;6,
2247;Наугорское шоссе 13 ;1;95;1;95;;26(52/95,
2248;Наугорское шоссе 13 ;1;96,2;1;96,2;;14(37/96,
2249;Наугорское шоссе 13 ;1;37;1;37;;20(37/97,
2250;Наугорское шоссе 13 ;2;37;2;37;;46(28,49(28,
2251;Наугорское шоссе 19 ;33;1266,2;5;200,9;15,87;4,9,10,12,22,
2252;Наугорское шоссе 19 А;40;1588,3;2;88,1;5,55;19,38,
2253;Наугорское шоссе 21 ;129;6043,5;6;288,8;4,78;11, 18, 34, 51, 66, 129
2254;Наугорское шоссе 23 ;110;1950,8;13;175,7;12,69;14, 16, 16.1, 26, 38, 53, 56, 77, 89, 89А, 98, 106, 106.1
2255;Наугорское шоссе 23 ;;20,5;1;20,5;;4,
2256;Наугорское шоссе 23 ;;36,8;1;36,8;;1а (специализированный служебный жилищный фонд)
2257;Наугорское шоссе 23 ;;14,6;1;14,6;;к.23
2258;Наугорское шоссе 25 ;119;2291,6;7;128,8;5,62;1, 12, 14, 65, 66, 86, 118
2259;Наугорское шоссе 42 ;99;4348,6;5;252,3;5,80;14, 26, 65, 89, 93
2260;Наугорское шоссе 44 А;142;6134,4;5;249,7;4,07;7, 35, 58, 78, 101
2261;Наугорское шоссе 46 ;105;2499,7;12;214,1;10,21;26, 48, 59, 64, 66, 67, 69, 71.1, 74, 81, 85, 107
2262;Наугорское шоссе 46 ;;41;1;41;;2
2263;Наугорское шоссе 48 ;113;1966,4;20;351,8;17,89;1-2, 13, 40, 48-4, 58-5, 66, 67-6, 72, 86, 93-9, 97, 101, 104, 111, 112, 124, 129, 143, 149, 151
2264;Наугорское шоссе 48 ;1;20,7;1;20,7;100,00;26.27,
2265;Наугорское шоссе 50 ;150;2109,54;30;422,26;20,85;4,5, 20, 27, 36, 39, 41, 42, 43, 58, 68,69, 75, 76, 79, 85, 92, 93, 94, 95,96, 99, 107, 118, 120, 129, 136, 139, 144, 148, 150, 158, 163
2266;Наугорское шоссе 50 ;;17,6;1;17,6;;13,
2267;Наугорское шоссе 52 ;240;12870,5;18;1015,9;7,89;10, 76, 79, 81, 84, 88, 93, 97, 119, 146, 157, 159, 160, 162, 165, 169, 184, 201
2268;Наугорское шоссе 60 ;14;423,8;0;0;0,00;
2269;Наугорское шоссе 62 ;8;397,4;0;0;0,00;
2270;Наугорское шоссе 64 ;8;275,4;0;0;0,00;
2271;Наугорское шоссе 9 ;54;1151,5;7;162,6;14,12;21, 26.27, 38, 39, 44, 50, 59-6
2272;Новая ул 13 ;9;383,5;7;291,7;76,06;1,4,5,6,6.1,7,8,
2273;Новая ул 15 ;8;409,3;4;205,1;50,11;3,6,7,8,
2274;Новая ул 22 ;1;41,5;0;0;0,00;
2275;Новикова ул 13 ;80;6495,3;0;0;0,00;
2276;Новикова ул 6 ;72;4016,2;5;290,7;7,24;2,4,5,36,70,
2277;Новикова ул 8 ;72;4008,5;5;263,5;6,57;9,56,66,67,72,
2278;Новосильская ул 1 ;19;1104;0;0;0,00;
2279;Новосильская ул 10 ;72;3916,8;2;118,3;3,02;5, 36
2280;Новосильская ул 11 ;96;4240;9;391,5;9,23;16, 30, 47, 56, 64, 84, 87, 88, 91
2281;Новосильская ул 12 ;14;1590,9;0;0;0,00;
2282;Новосильская ул 2 ;24;1811,2;0;0;0,00;
2283;Новосильская ул 3 ;109;5889,2;10;489,1;8,31;3, 23, 47, 69, 74, 74.1, 85, 93, 103, 108
2284;Новосильская ул 6 ;66;3188,1;2;89,8;2,82;52, 61
2285;Новосильская ул 7 ;70;3136,8;2;100;3,19;35,52,
2286;Новосильская ул 8 ;26;2015;0;0;0,00;
2287;Новосильская ул 9 ;70;3320,8;2;95;2,86;9, 41
2288;Новосильский пер 1 ;67;3201,5;3;165,1;5,16;14, 39, 57
2289;Новосильский пер 2 А;8;274,5;0;0;0,00;
2290;Новосильский пер 3 ;70;3401,85;3;160,7;4,72;28, 57, 66
2291;Новосильский пер 4 ;64;3477,1;2;121,7;3,50;33, 49
2292;Новосильский пер 4 11;74;3625;6;317,3;8,75;79, 83, 99, 106, 119, 124
2293;Новосильское шоссе 1 ;16;638,9;1;44,7;7,00;14
2294;Новосильское шоссе 14 А;2;74,4;0;0;0,00;
2295;Новосильское шоссе 3 ;12;464,8;5;202,3;43,52;2,5,7,10,12,
2296;Новосильское шоссе 4 ;2;121,5;0;0;0,00;
2297;Новосильское шоссе 5 ;2;92;1;31,8;34,57;1,
2298;Новосильское шоссе 7 ;15;553,9;1;47,1;8,50;11,
2299;Новосильское шоссе 9 ;8;415,45;3;162,5;39,11;3,5,9,
2300;Нормандия-Неман ул 10 ;60;2752,7;2;109,1;3,96;12,43,
2301;Нормандия-Неман ул 101 ;404;22258,3;25;1498;6,73;5, 24, 28, 35, 53, 61, 80, 86, 111, 133, 150, 162, 171., 178, 189, 207, 235, 254, 261, 275, 282, 289, 300, 331, 361
2302;Нормандия-Неман ул 11 ;17;501,5;6;195,3;43,83;7, 10, 10.1, 11, 12, 20
2303;Нормандия-Неман ул 11 ;;24,5;1;24,5;;15
2304;Нормандия-Неман ул 11/1;1;47,7;1;47,7;0,00;19
2305;Нормандия-Неман ул 20 ;7;253,8;1;57,4;22,62;6,
2306;Нормандия-Неман ул 4 ;67;3275,1;4;223,1;6,81;2,7,20,62,
2307;Нормандия-Неман ул 6 ;70;3207;0;0;0,00;
2308;Нормандия-Неман ул 74 ;206;11869;0;0;0,00;
2309;Нормандия-Неман ул 74 ;;56,1;0;0;;
2310;Нормандия-Неман ул 74 ;;50,3;0;0;;
2311;Нормандия-Неман ул 8 ;60;2795,8;0;0;0,00;
2312;Нормандия-Неман ул 93 ;327;18994,4;18;1044,5;5,50;30, 34, 76, 84, 96, 118, 129, 139, 191, 210, 213, 217, 231, 235, 288, 312, 316, 319
2313;Нормандия-Неман ул 99 ;219;11659,3;0;0;0,00;
2314;Огородный пер 3 ;17;547,1;2;41,3;7,55;2,16,
2315;Огородный пер 5 ;10;482,3;6;239,2;49,60;3,5,11,12,13,16,
2316;Огородный пер 7 ;15;451,9;6;239,5;53,00;2, 5-6, 8, 11, 12, 13-14(доля в праве общей долевой собственности 34/55)
2317;Огородный пер 9 ;10;459,4;1;56;12,19;1
2318;Октябрьская ул 122 ;136;7328;7;402,6;5,49;7, 39, 42, 76, 81, 92, 131
2319;Октябрьская ул 124 ;72;4007,7;0;0;0,00;
2320;Октябрьская ул 126 ;146;7874,66;0;0;0,00;
2321;Октябрьская ул 128 ;71;3971;5;277,9;7,00;37, 48, 66, 68, 70
2322;Октябрьская ул 132 А;88;4109,8;6;295,6;7,19;7, 34, 60, 61, 66, 78
2323;Октябрьская ул 134 ;64;3436,7;3;177,3;5,16;9,13,21,
2324;Октябрьская ул 136 ;146;7813,6;8;426,1;5,45;7, 46, 60, 72, 83, 98, 105, 143
2325;Октябрьская ул 16/18 ;6;323,9;0;0;19,08;
2326;Октябрьская ул 16/18 ;;;1;61,8;;9
2327;Октябрьская ул 205 ;82;3953,3;2;97,4;2,46;16,45,
2328;Октябрьская ул 209 ;101;4522,7;8;375,5;8,30;1, 4, 23, 24, 47, 51, 57, 99
2329;Октябрьская ул 211 ;111;5540;8;421,2;7,60;1, 6, 27, 47, 49, 55, 66, 89
2330;Октябрьская ул 211 ;;0;1;0;;дооборуд,
2331;Октябрьская ул 213 ;70;3030,8;5;219;7,23;1, 10, 25, 27, 29
2332;Октябрьская ул 22 ;64;3911,4;3;139,12;3,56;6,23.1,26,
2333;Октябрьская ул 28 ;12;481,8;0;0;0,00;
2334;Октябрьская ул 31 ;37;1453,7;2;82,3;5,66;10,37,
2335;Октябрьская ул 37 ;46;1925;1;53,1;2,76;8
2336;Октябрьская ул 39 ;18;1290,3;1;82,1;6,36;11
2337;Октябрьская ул 40 ;22;823,1;3;75,8;9,21;3,18,18.1,
2338;Октябрьская ул 41 ;81;3555,1;6;350,7;9,86;8,33,44,49,52,61,
2339;Октябрьская ул 42 ;42;1749,7;0;0;0,00;
2340;Октябрьская ул 43 ;43;2273,3;1;61,5;2,71;21,
2341;Октябрьская ул 45 ;28;1185,7;0;0;0,00;
2342;Октябрьская ул 47 А;48;2017,5;4;162,2;8,04;16, 25, 27, 34
2343;Октябрьская ул 47 Б;31;1230,1;0;0;0,00;
2344;Октябрьская ул 48 ;68;4358,7;0;0;0,00;
2345;Октябрьская ул 49 ;24;1416,2;0;0;0,00;
2346;Октябрьская ул 52 ;72;3926,7;0;0;0,00;
2347;Октябрьская ул 56 ;66;2577,4;1;44,4;1,72;47
2348;Октябрьская ул 57 ;212;11643,4;6;374,5;3,22;3, 25, 96, 112, 151, 167
2349;Октябрьская ул 58 ;64;2537,2;4;149;5,87;1, 48, 52 (специализированный служебный жилищный фонд), 58
2350;Октябрьская ул 59 ;101;4499,7;7;326,7;7,26;4, 22, 33, 55, 65, 69, 85
2351;Октябрьская ул 6 ;8;259,8;6;186,1;71,63;2,5,6,7.1,8,9,
2352;Октябрьская ул 60 ;68;2683,4;1;43,6;1,62;26
2353;Октябрьская ул 62 ;401;21806,9;6;302,7;1,39;27, 119, 142, 225, 315, 395
2354;Октябрьская ул 68 ;155;8345,2;0;0;0,00;
2355;Опушечная ул 22 ;4;221,9;0;0;0,00;
2356;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;13947;1;58,9;51,65;1
2357;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,8;;6
2358;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,7;;11
2359;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,9;;16
2360;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;36,8;;18
2361;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;59;;26
2362;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;36,6;;28
2363;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,7;;31
2364;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,9;;36
2365;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;36,8;;38
2366;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,9;;41
2367;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,8;;46
2368;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,8;;51
2369;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,6;;105
2370;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,7;;110
2371;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,7;;115
2372;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,8;;140
2373;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,9;;155
2374;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;59;;61
2375;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,7;;66
2376;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,6;;71
2377;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,5;;76
2378;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;36,6;;78
2380;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,6;;90
2381;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;36,6;;103
2382;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,5;;120
2383;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;36,6;;123
2384;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,6;;125
2385;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;36,7;;128
2386;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,6;;130
2387;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;36,8;;133
2388;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,5;;135
2389;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;36,7;;143
2390;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;36,7;;148
2391;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;60,4;;32
2392;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;36,8;;98
2393;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;58,6;;100
2394;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;36,8;;63
2395;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;41,4;;74
2396;Орловская область, д.Жилина, Генерала Лаврова ул 8;1;;1;60,5;;159
2397;Орелстроевская ул 11 а;1;45,3;1;45,3;0,00;129,
2398;Орелстроевская ул 11 а;1;61,2;1;61,2;0,00;27,
2399;Орелстроевская ул 11 а;1;71,1;1;71,1;0,00;123,
2400;Орелстроевская ул 11 а;1;71,3;2;54,2;0,00;58., 58..
2401;Орелстроевская ул 11 а;1;71,3;1;17,2;0,00;62,
2402;Орелстроевская ул 11 а;1;61,5;1;61,5;0,00;171,
2403;Орелстроевская ул 11 а;1;71,3;2;54,1;0,00;95(1к.),95(1К),
2404;Орелстроевская ул 11 а;1;71;1;44,4;0,00;119(2 к),
2405;Орелстроевская ул 11 а;1;61,1;1;61,1;0,00;116,
2406;Орелстроевская ул 11 а;1;71,6;1;39,6;0,00;78,
2407;Орелстроевская ул 11 а;1;40,2;1;40,2;0,00;44,
2408;Орелстроевская ул 11 а;1;40,1;1;40,1;0,00;32,
2409;Орелстроевская ул 11 а;1;40;1;40;0,00;26,
2410;Орелстроевская ул 11 а;1;61,3;1;16,3;0,00;3,
2411;Орелстроевская ул 11 а;1;61,5;1;61,5;0,00;147,
2412;Орелстроевская ул 11 а;1;35,8;1;35,8;0,00;180,
